
('124010', '56401', 'D3', 'Teknik Komputer - 56401'),
('104003', '70401', 'D3', 'Hubungan Masyarakat - 70401'),
('104003', '70402', 'D3', 'Jurnalistik - 70402'),
('104003', '70402', 'D3', 'Jurnalistik - 70402'),
('364001', '70401', 'D3', 'Pemasyarakatan - 70401'),
('364001', '70401', 'D3', 'Pemasyarakatan - 70401'),
('364001', '70401', 'D3', 'Pemasyarakatan - 70401'),
('044075', '24404', 'D3', 'Teknologi Industri Tekstil - 24404'),
('044075', '24401', 'D3', 'Teknologi Kimia Tekstil - 24401'),
('044075', '24401', 'D3', 'Teknologi Kimia Tekstil - 24401'),
('014126', '57402', 'D3', 'Komputerisasi Akuntansi - 57402'),
('014126', '57401', 'D3', 'Manajemen Informatika - 57401'),
('014126', '56401', 'D3', 'Teknik Komputer - 56401'),
('014126', '56401', 'D3', 'Teknik Komputer - 56401'),
('064091', '15401', 'D3', 'Kebidanan - 15401'),
('064091', '15401', 'D3', 'Kebidanan - 15401'),
('114089', '15401', 'D3', 'Kebidanan - 15401'),
('114089', '15401', 'D3', 'Kebidanan - 15401'),
('024113', '15401', 'D3', 'Kebidanan - 15401'),
('024113', '15401', 'D3', 'Kebidanan - 15401'),
('134031', '15401', 'D3', 'Kebidanan - 15401'),
('134031', '15401', 'D3', 'Kebidanan - 15401'),
('024104', '15401', 'D3', 'Kebidanan - 15401'),
('024104', '15401', 'D3', 'Kebidanan - 15401'),
('014127', '15401', 'D3', 'Kebidanan - 15401'),
('014127', '15401', 'D3', 'Kebidanan - 15401'),
('024136', '15401', 'D3', 'Kebidanan - 15401'),
('024136', '15401', 'D3', 'Kebidanan - 15401'),
('074095', '15401', 'D3', 'Kebidanan - 15401'),
('074095', '15401', 'D3', 'Kebidanan - 15401'),
('094134', '15401', 'D3', 'Kebidanan - 15401'),
('094134', '15401', 'D3', 'Kebidanan - 15401'),
('044216', '15401', 'D3', 'Kebidanan - 15401'),
('044216', '15401', 'D3', 'Kebidanan - 15401'),
('024086', '15401', 'D3', 'Kebidanan - 15401'),
('024086', '15401', 'D3', 'Kebidanan - 15401'),
('114074', '15401', 'D3', 'Kebidanan - 15401'),
('114074', '15401', 'D3', 'Kebidanan - 15401'),
('044137', '15401', 'D3', 'Kebidanan - 15401'),
('044137', '15401', 'D3', 'Kebidanan - 15401'),
('034142', '15401', 'D3', 'Kebidanan - 15401'),
('034142', '15401', 'D3', 'Kebidanan - 15401'),
('044208', '15401', 'D3', 'Kebidanan - 15401'),
('044208', '15401', 'D3', 'Kebidanan - 15401'),
('044130', '15401', 'D3', 'Kebidanan - 15401'),
('044130', '15401', 'D3', 'Kebidanan - 15401'),
('024103', '15401', 'D3', 'Kebidanan - 15401'),
('024103', '15401', 'D3', 'Kebidanan - 15401'),
('024117', '15401', 'D3', 'Kebidanan - 15401'),
('024117', '15401', 'D3', 'Kebidanan - 15401'),
('104052', '15401', 'D3', 'Kebidanan - 15401'),
('104052', '15401', 'D3', 'Kebidanan - 15401'),
